addsuite,ispd2020,contest,https://dl.acm.org/doi/10.1145/3372780.3380846,url,delta_t,hpwl,score,time,ISPD 2020 Kernel Mapping Contest
addbench,a,url,"18 kernels, 17 connections, 1:1 weighting"
addbench,b,url,"34 kernels, 33 connections, 1:1 weighting"
addbench,c,url,"102 kernels, 133 connections, 1:1 weighting"
addbench,d,url,"54 kernels, 69 connections, 1:1 weighting"
addbench,e,url,"17 kernels, 17 connections, 1:10 weighting"
addbench,f,url,"34 kernels, 33 connections, 1:10 weighting"
addbench,g,url,"102 kernels, 133 connections, 1:10 weighting"
addbench,h,url,"54 kernels, 69 connections, 1:10 weighting"
addbench,i,url,"27 kernels, 26 connections, 1:4 weighting"
addbench,j,url,"81 kernels, 105 connections, 1:4 weighting"
addbench,k,url,"18 kernels, 17 connections, 1:4 weighting"
addbench,l,url,"54 kernels, 69 connections, 1:4 weighting"
addbench,m,url,"25 kernels, 28 connections, 1:4 weighting"
addbench,n,url,"28 kernels, 27 connections, 1:4 weighting"
addbench,o,url,"27 kernels, 26 connections, 1:40 weighting"
addbench,p,url,"81 kernels, 105 connections, 1:40 weighting"
addbench,q,url,"18 kernels, 17 connections, 1:40 weighting"
addbench,r,url,"54 kernels, 69 connections, 1:40 weighting"
addbench,s,url,"25 kernels, 28 connections, 1:40 weighting"
addbench,t,url,"28 kernels, 27 connections, 1:40 weighting"

importdir,ispd2020
